row_num,shop,schedule,time,product,content_type,topic,title,url,creator,status,date,post,path,note,recorder,editor,actor,voice_over,script,vv,revenue,shares,comments,engagement_rate,ctor,media_url,content_status,publish_status,remark,tiktok_eloop,facebook_eloop,instagram_eloop,youtube_eloop,tiktok_moov,facebook_moov,youtube_moov,instagram_moov,notified
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 7 Jan,EloopTH,,,"EW54 
E53",Review,EW54 vs E53,,https://www.tiktok.com/@eloopth/video/7319509262345014534,Ann,Done,1/2/2024,Ann,,,Ann,Ann,Ann,Ann,,189.0,0.0,1.0,0.0,1.06%,0.00%,,,,,,,,,,,,,
,EloopTH,,,,Educate ,เครื่องคิดเลข ลบเลขทีละตัวทำไง,,https://www.tiktok.com/@eloopth/video/7320060874595552518,Moth,Done,1/4/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/1080 x 1920/TikTok/Review : Unbox/2024/Jan/เครื่องคิดเลข.mp4,ตอบกลับคลิป >> https://www.tiktok.com/business-suite/comments?comment_id=7319167583344018194&from=homepage&video_id=7291562265273240838,Moth,Moth,Moth,Moth,,488.0,0.0,0.0,0.0,0.41%,0.00%,,,,,,,,,,,,,
,EloopTH,,,WC01,Review,แท่นชาร์จไร้สาย WC01,,https://www.tiktok.com/@eloopth/video/7320631803763641605,Ann,Done,1/5/2024,Ploy,,,Ann,Ann,Ann,Nile,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 - 14 Jan,Moov,,,CB06,Review,ใหม่ สายชาร์จ CB06,,https://www.tiktok.com/@moovthailand/video/7321919681244204293?lang=th-TH,View,Done,1/8/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Jan/CB06.mp4,https://www.tiktok.com/@moovthailand/video/7321919681244204293,View,View,View,Moth,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,"E59
PB01
PB03",Viral,ประกาศรางวัล,,https://www.tiktok.com/@eloopth/video/7321729348673850630,Ann,Done,1/8/2024,Huang,,https://www.tiktok.com/@eloopth/video/7321729348673850630,Ann,Ann,Ann,Huang,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,E59,Q & A ,E59 ต้องกดปุ่มก่อนมั้ย,,https://www.tiktok.com/@eloopth/video/7321943820373904646,Moth,Done,1/9/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Jan/กดปุ่มก่อนมั้ย.mp4,https://www.tiktok.com/@eloopth/video/7321943820373904646,Moth,Moth,Moth,Moth,,3423.0,0.0,1.0,10.0,1.14%,0.00%,,,,,,,,,,,,,
,Moov,,,PB02,Review,แบตสำรองฉุกเฉิน PB02,,https://www.tiktok.com/@moovthailand/video/7322447184581135622?lang=th-TH,Ann,Done,1/10/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Jan/PB02-Fn.mov,ถ้าเพลงติดลิขสิทธิ์ฝากเปลี่ยนแผ่นเสียงด้วยจ้า,Ann,Ann,Ann,Music,,,,,,,,,,,,,,,,,,,,
